"ppt","ProbeType","Condition","SetSize","TestChange","RespChange","Ntrials"
1,"DualProbe","Binding",4,0,10,18
1,"DualProbe","Binding",4,1,9,18
1,"DualProbe","Binding",6,0,9,18
1,"DualProbe","Binding",6,1,6,18
1,"DualProbe","Colour",4,0,2,18
1,"DualProbe","Colour",4,1,18,18
1,"DualProbe","Colour",6,0,6,18
1,"DualProbe","Colour",6,1,18,18
1,"DualProbe","Shape",4,0,5,18
1,"DualProbe","Shape",4,1,15,18
1,"DualProbe","Shape",6,0,7,18
1,"DualProbe","Shape",6,1,11,18
1,"WholeDisplay","Binding",4,0,4,18
1,"WholeDisplay","Binding",4,1,9,18
1,"WholeDisplay","Binding",6,0,7,18
1,"WholeDisplay","Binding",6,1,6,18
1,"WholeDisplay","Colour",4,0,4,18
1,"WholeDisplay","Colour",4,1,17,18
1,"WholeDisplay","Colour",6,0,7,18
1,"WholeDisplay","Colour",6,1,16,18
1,"WholeDisplay","Shape",4,0,4,18
1,"WholeDisplay","Shape",4,1,17,18
1,"WholeDisplay","Shape",6,0,4,18
1,"WholeDisplay","Shape",6,1,10,18
2,"DualProbe","Binding",4,0,5,18
2,"DualProbe","Binding",4,1,10,18
2,"DualProbe","Binding",6,0,1,18
2,"DualProbe","Binding",6,1,11,18
2,"DualProbe","Colour",4,0,5,18
2,"DualProbe","Colour",4,1,17,18
2,"DualProbe","Colour",6,0,3,18
2,"DualProbe","Colour",6,1,15,18
2,"DualProbe","Shape",4,0,3,18
2,"DualProbe","Shape",4,1,11,18
2,"DualProbe","Shape",6,0,7,18
2,"DualProbe","Shape",6,1,8,18
2,"WholeDisplay","Binding",4,0,6,18
2,"WholeDisplay","Binding",4,1,12,18
2,"WholeDisplay","Binding",6,0,10,18
2,"WholeDisplay","Binding",6,1,5,18
2,"WholeDisplay","Colour",4,0,5,18
2,"WholeDisplay","Colour",4,1,16,18
2,"WholeDisplay","Colour",6,0,4,18
2,"WholeDisplay","Colour",6,1,10,18
2,"WholeDisplay","Shape",4,0,6,18
2,"WholeDisplay","Shape",4,1,17,18
2,"WholeDisplay","Shape",6,0,4,18
2,"WholeDisplay","Shape",6,1,7,18
3,"DualProbe","Binding",4,0,3,18
3,"DualProbe","Binding",4,1,8,18
3,"DualProbe","Binding",6,0,10,18
